"cluster_id_dropped","k_es","k_study","est_z","se_z","ci_lb_z","ci_ub_z","df","sigma2_1","sigma2_2","sigma2_3","cooks_d_cluster","status","note"
"Cicchini et al (2026)",2693,114,-0.058929426698132,0.0140167635553264,-0.0867053976878637,-0.0311534557084004,110.704033098421,0.0200482245372189,2.45922262886319e-09,0.0118590212746613,0.000415626176842903,"ok",""
"CLUSTER Kleimeier-Viehs",2684,114,-0.0590001710818361,0.013979347846847,-0.086702071751155,-0.0312982704125172,110.677424136436,0.0199078918364566,7.54438512621519e-10,0.0120092789867338,0.000649680065503027,"ok",""
"CLUSTER Sandra/Ofogbe",2708,113,-0.0591383955435576,0.0139883692666663,-0.0868581316672592,-0.031418659419856,110.692478775147,0.0099846605022115,0.00998466257323519,0.0118972674665347,0.0012572151320403,"ok",""
"Cubas, Martinez (2018)",2678,114,-0.0589028161943015,0.0139784891047393,-0.0866030215345456,-0.0312026108540573,110.675117493914,0.0199066397256861,9.08011769923065e-10,0.0120160389259274,0.000341060670982912,"ok",""
"D'Arcangelo et al (2025)",2654,114,-0.0593563652229057,0.0139178905975061,-0.0869365804709792,-0.0317761499748322,110.641077920922,0.0196949966957117,2.71610485720406e-09,0.0121711552342101,0.00261905106851659,"ok",""
"Delis et al (2021)",2681,114,-0.0590084836282506,0.0139895687608562,-0.0867306156934737,-0.0312863515630275,110.685616996338,0.0199424111147313,1.46754378109232e-09,0.0119743626455821,0.000680599538220998,"ok",""
"Devalle et al (2017)",2710,114,-0.0588567953691531,0.0139460694175067,-0.0864922279652704,-0.0312213627730358,110.86709910166,0.0199156361801752,2.18986065474596e-09,0.0118688173948957,0.000229489764989549,"ok",""
"Ding et al (2022)",2705,114,-0.0589072713963928,0.0140178229114158,-0.0866853343756291,-0.0311292084171565,110.706650734718,0.0200618613860866,2.30920627343694e-09,0.0118349940250373,0.000353031262784334,"ok",""
"Drago et al (2018)",2711,114,-0.0408938518291577,0.00508540868794256,-0.0509863337200812,-0.0308013699382343,97.4946309394475,0.00165787829182144,3.98918643889295e-09,0.00958191620134596,1.63915340071845,"ok",""
"Drago, Carnevale (2020)",2712,114,-0.0580829103390375,0.0139379200724602,-0.0857023929108287,-0.0304634277672462,110.794866628489,0.0198713448696654,3.05922408582595e-09,0.0118833105048241,0.00165337872668175,"ok",""
"Du et al (2015)",2681,114,-0.0588448638381343,0.0139888504916757,-0.0865655814678579,-0.0311241462084108,110.682398726252,0.0199435554110705,2.86847926007198e-09,0.0119800884847534,0.000204159717953559,"ok",""
"Du et al (2022)",2711,114,-0.0592935424813202,0.0139634818154704,-0.0869639026961461,-0.0316231822664942,110.71357141387,0.0199172104423106,2.79119316547019e-09,0.0118873339913384,0.00217585343028764,"ok",""
"Dumrose & Höck (2023)",2682,114,-0.0585835857754342,0.0139974221996564,-0.0863212696157804,-0.030845901935088,110.689526048321,0.0199684502395384,1.81975984086783e-09,0.0119612090025679,2.07414885060574e-05,"ok",""
"Duong et al (2025)",2678,114,-0.0589105881953776,0.0139745412827801,-0.0866029772151725,-0.0312181991755828,110.672656628175,0.019889658725703,2.83071134944543e-09,0.0120368189797634,0.000362077173110278,"ok",""
"Ehlers et al (2021)",2691,114,-0.0594907461762182,0.0139538792732716,-0.0871421950460586,-0.0318392973063778,110.671086541286,0.0198370244598431,3.46264116048366e-10,0.0119807104038826,0.00370489981136667,"ok",""
"Eichholtz et al (2019)",2677,114,-0.0588177065516543,0.0139841674589354,-0.0865291537734039,-0.0311062593299047,110.678919336347,0.0199244548300143,2.12669884173638e-09,0.0120041720816672,0.000152027185930806,"ok",""
"Eliwa et al (2021)",2711,114,-0.0587922624237839,0.0139813639647977,-0.0864980438041657,-0.031086481043402,110.718822467,0.0199731911418295,1.13190111737973e-09,0.0118872362327456,0.000110144243061927,"ok",""
"Erragragui (2018)",2709,114,-0.0586540244925363,0.0139939164846813,-0.0863847390967758,-0.0309233098882969,110.697550228059,0.0199923243822006,2.54006975717429e-09,0.0118963991948274,2.76238652546996e-07,"ok",""
"Ferriani (2022)",2683,114,-0.0593118948531585,0.0139826254816694,-0.0870202654636337,-0.0316035242426834,110.686503662311,0.019936863805134,3.11110953964012e-09,0.011917843206359,0.00230107982754549,"ok",""
"Fonseka et al (2019a)",2642,114,-0.0579009225629049,0.014206808676165,-0.0860530501142898,-0.02974879501152,110.861429920066,0.0207556588971836,2.02589358542411e-09,0.0109564705113712,0.00289296279219799,"ok",""
"Fonseka et al (2019b)",2708,114,-0.0571763542934362,0.0139009060479338,-0.0847228136893987,-0.0296298948974738,110.676922437357,0.0197070327756543,2.18157716175835e-09,0.0118233386236432,0.0112445549828634,"ok",""
